fid,Plant,MW,Country,MWh,GEN_TYPE,SAMPLE_1,latitude,longitude
1475,KAFR EL ZAYAT WORKS,8.085000000000004,EGYPT,"35459.638283184147",Oil,24332.289062500000000,30.825,30.818
1477,KAFR EL-DAWAR,440.000000000000000,EGYPT,"2178656.6305322135",NG,25898.140625000000000,30.373,31.071
1478,KAFR EL-DAWAR MILL,24.000000000000000,EGYPT,"105260.5218053704",Oil,25898.140625000000000,30.373,31.071
1494,KAJBAR,0.000000000000000,SUDAN,"0",Water,1661.962036132812500,19.167,30.483
1502,KALITI,13.440000000000000,ETHIOPIA,"346.67320118137138",Oil,1033.436401367187500,8.891,38.769
1525,KAPOETA,0.800000000000000,SOUTH SUDAN,"4370",Oil,395.429748535156250,4.771,33.592
1532,KARA-DOBE,0.000000000000000,ETHIOPIA,"0",Water,727.802490234375000,10.167,38.133
1535,KAREMA,10.000000000000000,SUDAN,"28821.43902941612",Oil,640.238525390625000,18.550,31.850
1539,KARMOUZ,23.049999999999997,EGYPT,"101093.95948390782",Oil,,31.188,29.901
1551,KASSALA,12.299999999999997,SUDAN,"35450.370006181824",Oil,707.441894531250000,15.457,36.400
1572,KEBRI DEHAR,0.300000000000000,ETHIOPIA,"7.7382410977984675",Oil,,6.740,44.278
1578,KENANA,40.000000000000000,SUDAN,"23263.15789473684",Biomass,137.750991821289063,14.033,33.167
1590,KHARTOUM REFINERY,20.000000000000000,SUDAN,"57642.878058832241",Oil,,16.132,32.688
1594,KHARTOUM TRAIN HOSPITAL,0.270000000000000,SUDAN,"778.17885379423547",Oil,79.053482055664063,15.552,32.532
1595,KHASM EL GIRBA,17.800000000000001,SUDAN,"89949.661059502876",Water,91.749114990234375,14.922,35.908
1596,KHASM EL GIRBA,0.000000000000000,SUDAN,"0",Oil,91.749114990234375,14.922,35.908
1632,KILO-X DIT,260.000000000000000,SUDAN,"749357.4147648192",Oil,605.521667480468750,15.588,32.534
1634,KILO-X NEC,0.000000000000000,SUDAN,"0",NG,605.521667480468750,15.588,32.534
1637,KIMA PLANT,0.000000000000000,EGYPT,"0",Oil,3213.451416015625000,24.089,32.900
1647,KINETI RIVER,0.000000000000000,SOUTH SUDAN,"0",Water,100.568016052246094,4.410,32.574
1674,KIRIAZI FACTORY,12.000000000000000,EGYPT,"52630.260902685201",Oil,1944.073608398437273,30.293,31.742
1706,KOM OMBO ECSED,50.000000000000000,EGYPT,"76911.76470588235",Sun,21772.554687500000000,24.477,32.946
1707,KOM OMBO CAPITAL,0.000000000000000,EGYPT,"0",Sun,10011.832031250000000,24.442,32.882
1723,KOREM,1.291000000000000,ETHIOPIA,"33.300230857526074",Oil,758.773437500000000,12.506,39.523
1726,KOSTI,500.000000000000000,SUDAN,"1441071.951470806",Oil,1880.793090820312500,13.181,32.740
1742,KOYSHA DAM,0.000000000000000,ETHIOPIA,"0",Water,,0.000,0.000
