r,l,t,m,y,RateOfActivity
REGION,S2D2,EGWA00000X,1,2063, 1.2422116966325937e+04
REGION,S3D1,EGWA00000X,1,2063, 1.3986694460635459e+04
REGION,S3D2,EGWA00000X,1,2063, 1.2170810805485049e+04
REGION,S4D1,EGWA00000X,1,2063, 1.1152566319197371e+04
REGION,S4D2,EGWA00000X,1,2063, 1.1585938524448920e+04
REGION,S1D1,EGWA00000X,1,2064, 1.3682865279388016e+04
REGION,S1D2,EGWA00000X,1,2064, 7.9843782957654066e+03
REGION,S2D1,EGWA00000X,1,2064, 1.5330303119480333e+04
REGION,S2D2,EGWA00000X,1,2064, 1.2469207645600656e+04
REGION,S3D1,EGWA00000X,1,2064, 1.3979456633035832e+04
REGION,S3D2,EGWA00000X,1,2064, 1.2061999928919184e+04
