r,t,y,AnnualFixedOperatingCost
REGION,EGNGCCC01N,2069, 1.3237049600989005e+02
REGION,EGNGCCC01N,2070, 1.4348703326783485e+02
REGION,EGNGCCC02N,2040, 70
REGION,EGNGCCC02N,2041, 70
REGION,EGNGCCC02N,2042, 70
REGION,EGNGCCC02N,2043, 1.2493858008014101e+02
REGION,EGNGCCC02N,2044, 1.8996994730595313e+02
REGION,EGNGCCC02N,2045, 2.6739542008467072e+02
REGION,EGNGCCC02N,2046, 3.7239542008467072e+02
REGION,EGNGCCC02N,2047, 4.7739542008467072e+02
REGION,EGNGCCC02N,2048, 5.8239542008467072e+02
REGION,EGNGCCC02N,2049, 5.8239542008467072e+02
REGION,EGNGCCC02N,2050, 5.8239542008467072e+02
REGION,EGNGCCC02N,2051, 5.8239542008467072e+02
REGION,EGNGCCC02N,2052, 5.8239542008467072e+02
REGION,EGNGCCC02N,2053, 5.8239542008467072e+02
REGION,EGNGCCC02N,2054, 5.8239542008467072e+02
REGION,EGNGCCC02N,2055, 5.8239542008467072e+02
REGION,EGNGCCC02N,2056, 5.8239542008467072e+02
REGION,EGNGCCC02N,2057, 5.8239542008467072e+02
REGION,EGNGCCC02N,2058, 5.8239542008467072e+02
REGION,EGNGCCC02N,2059, 5.8239542008467072e+02
REGION,EGNGCCC02N,2060, 5.8239542008467072e+02
REGION,EGNGCCC02N,2061, 5.8239542008467072e+02
REGION,EGNGCCC02N,2062, 5.8239542008467072e+02
REGION,EGNGCCC02N,2063, 5.8239542008467072e+02
REGION,EGNGCCC02N,2064, 5.8239542008467072e+02
REGION,EGNGCCC02N,2065, 5.8239542008467072e+02
REGION,EGNGCCC02N,2066, 5.8239542008467072e+02
REGION,EGNGCCC02N,2067, 5.8239542008467072e+02
REGION,EGNGCCC02N,2068, 5.8239542008467072e+02
REGION,EGNGCCC02N,2069, 5.8239542008467072e+02
REGION,EGNGCCC02N,2070, 6.3546317856576650e+02
REGION,EGNGCCC04N,2047, 1.1476302879195815e+01
REGION,EGNGCCC04N,2048, 2.5088611065883050e+01
REGION,EGNGCCC04N,2049, 2.5088611065883050e+01
REGION,EGNGCCC04N,2050, 2.5088611065883050e+01
REGION,EGNGCCC04N,2051, 2.5088611065883050e+01
REGION,EGNGCCC04N,2052, 2.5088611065883050e+01
REGION,EGNGCCC04N,2053, 2.5088611065883050e+01
REGION,EGNGCCC04N,2054, 2.5088611065883050e+01
REGION,EGNGCCC04N,2055, 2.5088611065883050e+01
REGION,EGNGCCC04N,2056, 2.5088611065883050e+01
REGION,EGNGCCC04N,2057, 2.5088611065883050e+01
REGION,EGNGCCC04N,2058, 2.5088611065883050e+01
REGION,EGNGCCC04N,2059, 2.5088611065883050e+01
REGION,EGNGCCC04N,2060, 2.5088611065883050e+01
REGION,EGNGCCC04N,2061, 2.5088611065883050e+01
REGION,EGNGCCC04N,2062, 2.5088611065883050e+01
REGION,EGNGCCC04N,2063, 2.5088611065883050e+01
REGION,EGNGCCC04N,2064, 2.5088611065883050e+01
REGION,EGNGCCC04N,2065, 2.5088611065883050e+01
REGION,EGNGCCC04N,2066, 2.5088611065883050e+01
REGION,EGNGCCC04N,2067, 2.5088611065883050e+01
REGION,EGNGCCC04N,2068, 2.5088611065883050e+01
REGION,EGNGCCC04N,2069, 2.5088611065883050e+01
REGION,EGNGCCC04N,2070, 2.5088611065883050e+01
REGION,EGNGGCP02O,2015, 46.561
REGION,EGNGGCP02O,2016, 46.561
REGION,EGNGGCP02O,2017, 46.561
REGION,EGNGGCP02O,2018, 46.561
REGION,EGNGGCP02O,2019, 46.561
REGION,EGNGGCP02O,2020, 46.561
REGION,EGNGGCP02O,2021, 44.23295
REGION,EGNGGCP02O,2022, 41.9049
REGION,EGNGGCP02O,2023, 39.57685
REGION,EGNGGCP02O,2024, 37.2488
REGION,EGNGGCP02O,2025, 34.92075
REGION,EGNGGCP02O,2026, 32.5927
REGION,EGNGGCP02O,2027, 30.26465
REGION,EGNGGCP02O,2028, 27.9366
REGION,EGNGGCP02O,2029, 25.60855
REGION,EGNGGCP02O,2030, 23.2805
REGION,EGNGGCP02O,2031, 20.95245
REGION,EGNGGCP02O,2032, 18.6244
REGION,EGNGGCP02O,2033, 16.29635
REGION,EGNGGCP02O,2034, 13.9683
REGION,EGNGGCP02O,2035, 11.64025
REGION,EGNGGCP02O,2036, 9.3122
REGION,EGNGGCP02O,2037, 6.98415
REGION,EGNGGCP02O,2038, 4.6561
