r,t,y,AnnualVariableOperatingCost
REGION,EGBM00X00X,2063, 1.2425570315348095e+03
REGION,EGBM00X00X,2064, 1.2664079779415563e+03
REGION,EGBM00X00X,2065, 1290.81703649422
REGION,EGBM00X00X,2066, 1.3157972670170175e+03
REGION,EGBM00X00X,2067, 1.3413620349340481e+03
REGION,EGBM00X00X,2068, 1.3675250184203371e+03
REGION,EGBM00X00X,2069, 1.3943002157202056e+03
REGION,EGBM00X00X,2070, 1.4217019526368892e+03
REGION,EGCO00I00X,2035, 1.1222601365519928e+01
REGION,EGCO00I00X,2036, 9.6250862285999773e+01
REGION,EGCO00I00X,2037, 1.6904097162017050e+02
REGION,EGCO00I00X,2038, 1.3680606364015927e+02
REGION,EGCO00I00X,2039, 1.2555845519742951e+02
REGION,EGCO00I00X,2040, 1.3697615753621651e+01
REGION,EGCO00I00X,2041, 6.5672451752986149e+01
REGION,EGCO00I00X,2042, 1.0952820585777726e+01
REGION,EGCO00I00X,2043, 5.3176383677451376e+01
REGION,EGCO00I00X,2044, 2.4055584477061078e+01
REGION,EGCO00I00X,2045, 2.4910741447303909e+01
REGION,EGCO00I00X,2046, 1.4092128890504188e+01
REGION,EGCO00I00X,2047, 6.2622202871720125e+00
REGION,EGCO00I00X,2048, 5.4076339081556716e+02
REGION,EGCO00I00X,2049, 4.0472009655553137e+02
REGION,EGCO00I00X,2050, 3.2658005982733607e+02
REGION,EGCO00I00X,2051, 3.6983456760672931e+02
REGION,EGCO00I00X,2052, 3.8537388729020762e+02
REGION,EGCO00I00X,2053, 3.9181844332149319e+02
REGION,EGCO00I00X,2054, 3.8427563354799508e+02
REGION,EGCO00I00X,2055, 2.0454121255317042e+02
REGION,EGCO00I00X,2056, 2.2892444661288573e+00
REGION,EGCO00I00X,2057, 2.0470693926535617e+00
REGION,EGCO00I00X,2058, 1.8305135580091461e+00
REGION,EGCO00I00X,2059, 1.6368667548469940e+00
REGION,EGCO00I00X,2060, 1.4637054828390910e+00
REGION,EGCO00I00X,2061, 1.3088626185915369e+00
REGION,EGCO00I00X,2062, 1.1704002941056084e+00
REGION,EGCO00I00X,2063, 1.0465856443621970e+00
REGION,EGCO00I00X,2064, 9.3586912051210513e-01
REGION,EGCO00I00X,2065, 8.3686509726321223e-01
REGION,EGCO00I00X,2066, 7.4833453176702114e-01
REGION,EGCO00I00X,2067, 2.3483747336828677e+02
REGION,EGCO00I00X,2068, 8.6297568510312988e+02
REGION,EGCO00I00X,2069, 1.5224069174803094e+03
REGION,EGCO00I00X,2070, 1.8229508434371351e+03
REGION,EGCO00X00X,2015, 3.6071748414239885e+01
REGION,EGCO00X00X,2016, 3.6428084729781105e+01
REGION,EGCO00X00X,2017, 5.7459978303227928e+01
REGION,EGCO00X00X,2018, 5.6722784783417936e+01
REGION,EGCO00X00X,2019, 6.1477365297541695e+01
REGION,EGCO00X00X,2020, 6.4463763883331367e+01
REGION,EGCO00X00X,2021, 6.2667107375809593e+01
REGION,EGCO00X00X,2022, 6.0911567354739574e+01
REGION,EGCO00X00X,2023, 5.9196123233023705e+01
REGION,EGCO00X00X,2024, 5.7519782546334980e+01
REGION,EGCO00X00X,2025, 6.9931241456699388e+02
REGION,EGCO00X00X,2026, 5.5355590123949447e+01
REGION,EGCO00X00X,2027, 4.0138330043965851e+01
REGION,EGCO00X00X,2028, 3.9872808316222169e+01
REGION,EGCO00X00X,2029, 3.9608162720215482e+01
REGION,EGCO00X00X,2030, 3.9344405054030759e+01
REGION,EGCO00X00X,2031, 3.3972040769594940e+01
